Date,Close
2025-01-02,243.5821990966797
2025-01-03,243.0927276611328
2025-01-06,244.73092651367188
2025-01-07,241.94400024414062
2025-01-08,242.43344116210938
2025-01-10,236.58987426757812
2025-01-13,234.14256286621094
2025-01-14,233.02378845214844
2025-01-15,237.60874938964844
2025-01-16,228.00930786132812
2025-01-17,229.7274169921875
2025-01-21,222.39547729492188
2025-01-22,223.58416748046875
2025-01-23,223.41436767578125
2025-01-24,222.5353240966797
2025-01-27,229.6075439453125
2025-01-28,237.99832153320312
2025-01-29,239.0971221923828
2025-01-30,237.3290557861328
2025-01-31,235.74081420898438
2025-02-03,227.75958251953125
2025-02-04,232.54432678222656
2025-02-05,232.21469116210938
2025-02-06,232.9638671875
2025-02-07,227.3800048828125
2025-02-10,227.64999389648438
2025-02-11,232.6199951171875
2025-02-12,236.8699951171875
2025-02-13,241.52999877929688
2025-02-14,244.60000610351562
2025-02-18,244.47000122070312
2025-02-19,244.8699951171875
2025-02-20,245.8300018310547
2025-02-21,245.5500030517578
2025-02-24,247.10000610351562
2025-02-25,247.0399932861328
2025-02-26,240.36000061035156
2025-02-27,237.3000030517578
2025-02-28,241.83999633789062
2025-03-03,238.02999877929688
2025-03-04,235.92999267578125
2025-03-05,235.74000549316406
2025-03-06,235.3300018310547
2025-03-07,239.07000732421875
2025-03-10,227.47999572753906
2025-03-11,220.83999633789062
2025-03-12,216.97999572753906
2025-03-13,209.67999267578125
2025-03-14,213.49000549316406
2025-03-17,214.0
2025-03-18,212.69000244140625
2025-03-19,215.24000549316406
2025-03-20,214.10000610351562
2025-03-21,218.27000427246094
2025-03-24,220.72999572753906
2025-03-25,223.75
2025-03-26,221.52999877929688
2025-03-27,223.85000610351562
2025-03-28,217.89999389648438
2025-03-31,222.1300048828125
